Car   Knn Result           Expected Result          accuracy 
1     KL55R2473          KL55R2473        100.0
2     GJW115A1138          GJW115A1138        100.0
3     KL16J3636          KL16J3636        100.0
4     8H2DEE7598          MH20EE7598        80.0
6     BR23DA2330          HR26DA2330        80.0
7     HR268P3643          HR268P3543        90.0
8     BR26CT67D2          HR26CT6Y02        70.0
9     KL018R8055          KL01BR8055        90.0
10     KL7BZ99          KL7BZ99        100.0
12     HH12JC2B13          MH12JC2813        80.0
13     HB14EU3498          MH14EU3498        80.0
15     6AR2P22          GAR1P11        42.857142857142854
21     15LK1D398          15LK10898        77.77777777777779
28     JET7G88          JET7G88        100.0
31     VYS7A52          VYS7A51        85.71428571428571
32     VBU7V67          VDU7V67        85.71428571428571
34     BAV9R93          BAV9R93        100.0
35     UZ08070          UZ08070        100.0
36     KJE2I58          KJE1I58        85.71428571428571
39     PUX5E62          PUX5E62        100.0
42     HKU2A29          HKU2A19        85.71428571428571
44     LLZ6Y28          LLZ6Y18        85.71428571428571
47     BZY8Z87          BZY8Z87        100.0
48     6AR2P22          GAR1P11        42.857142857142854
50     FKAAVA9          FKA4V49        71.42857142857143
51     UH07B9A          UH07B94        85.71428571428571
54     YUT2X26          YUT1X16        71.42857142857143
55     UUZ7AB2          UUZ7A01        71.42857142857143
56     X0S0J87          X0S9J87        85.71428571428571
57     XX08TU8          XXQ8T08        71.42857142857143
58     KHF5L36          KHF5L36        100.0
61     HZB662A          HZH6G24        57.14285714285714
68     TKZ5022          TKZ5012        85.71428571428571
69     KPB8L62          KPD8L62        85.71428571428571
72     MB2DEE7598          MH20EE7598        80.0
73     BR26DA2330          HR26DA2330        90.0
74     15LK1D398          15LK10898        77.77777777777779
75     PL8REC          PL8REC        100.0
76     LVV8XA5          LVY8X45        71.42857142857143
78     HLA4681          MLA4681        85.71428571428571
81     HUJ6971          MUJ6971        85.71428571428571
82     SCJ5J35          SCJ5135        85.71428571428571
83     BR26CE376D          HR26CE3760        80.0
85     BL2CA6B786          DL2CAG0786        70.0
89     BIK8E20          DIK8E10        71.42857142857143
94     15LK1D398          15LK10898        77.77777777777779
95     S0AARA2          S0A4R42        71.42857142857143
96     IXB9P86          IXB9P86        100.0
99     TAS3Y57          TAS3Y57        100.0
109     EEY863B          EEY8G30        71.42857142857143
116     HKEUA22          HKE0A12        71.42857142857143
118     ZYJ1PB5          ZYJ1P05        85.71428571428571
119     ZYJ1PB5          ZYJ1P05        85.71428571428571
130     VRFAE08          VRF4E08        85.71428571428571
142     ASP3E06          ASP3E06        100.0
143     LLZ6Y28          LLZ6Y18        85.71428571428571
146     VRFAE08          VRF4E08        85.71428571428571
147     AEU8K65          AEU8K65        100.0
148     S0AARA2          S0A4R42        71.42857142857143
150     BAV9R93          BAV9R93        100.0
154     VBU7V67          VDU7V67        85.71428571428571
155     NVG3P20          NVG3P10        85.71428571428571
156     VYS7A52          VYS7A51        85.71428571428571
157     PXX7L0B          PXX7L00        85.71428571428571
161     YUT2X26          YUT1X16        71.42857142857143
162     KAT3R6A          KAT3R64        85.71428571428571
171     UH07B9A          UH07B94        85.71428571428571
175     6AR2P22          GAR1P11        42.857142857142854
179     BZY8Z87          BZY8Z87        100.0
181     KPB8L62          KPD8L62        85.71428571428571
83.59863945578228
